model,lead_hours,track_mae_km_mean,track_mae_km_median,wind_mae_mean,wind_mae_median,samples,valid_json_rate
Aurora-small,24,347.72885743266175,369.36909978680234,20.53257147576513,18.87335721410751,20,1.0
Aurora-small,48,815.6078931764087,941.7067452894195,21.662343904166793,24.74004919986534,20,1.0
Aurora-small,72,1060.8578780896353,597.6203467245922,18.547990211429216,22.540286143959044,20,1.0
DeepSeek-chat,24,392.3608358380882,428.0840951819812,7.556017877257922,7.773205942024234,20,1.0
DeepSeek-chat,48,806.3510920396345,794.7201813452735,17.437905583392048,17.427834309692386,20,1.0
DeepSeek-chat,72,1125.0466421746517,1129.471719724979,25.605713422995187,25.732391117549895,20,1.0
